pitchMin,pitchMax,pitchAve,energy,duration,f0,f1,Happy
177.1006207,381.0894064,272.5971984,0.008634117,1.14725,621.117411,2451.248746,1
221.8133941,595.0158883,292.7751812,0.002724403,1.384625,528.5793012,2597.398244,1
189.7719007,508.8493315,326.7259592,0.002822244,1.1715625,1110.239796,2242.303487,1
197.8586633,462.8581899,328.2953832,0.004474114,1.171625,697.6099443,2120.957039,1
178.2725268,421.5654846,269.5892543,0.004087767,1.41725,957.5422503,2359.13658,1
208.6694372,281.6206532,259.3612546,0.001238129,0.8641875,1009.533246,2851.778134,1
185.0719326,320.9603415,268.7558141,0.004667597,1.014875,651.103411,2587.519391,1
175.6799208,508.0360696,301.7050509,0.004274342,0.785625,952.9086785,1791.589281,1
192.6173498,318.1649761,268.6496971,0.004820291,0.8445625,1079.794383,2385.712837,1
109.8174962,314.0526924,242.4622342,0.006798979,1.1415625,1203.491333,2019.948536,1
223.1907236,449.2844524,314.3748333,0.001882828,0.7454375,1220.330641,2966.281106,1
206.3908164,315.5142308,273.5608098,0.001272944,0.69425,917.6743977,2218.998746,1
122.9897975,471.3357214,296.6482605,0.004154807,0.8153125,245.7428552,2147.202186,1
170.4672033,402.5060065,249.3709563,0.00546973,0.8274375,999.1585655,2274.902633,1
240.1852048,356.4067308,299.8666048,0.003258148,0.611625,678.4299341,1976.190882,1
231.9424283,411.9176973,302.1775562,0.004777962,0.652375,1150.047453,3099.405305,1
209.2497196,558.9306518,259.6718466,0.004267145,1.141625,1064.716891,2506.203405,1
178.4504629,283.8395181,231.7980517,0.012845513,1.1463125,1048.307283,2412.266649,1
267.5036353,596.7228157,403.0774195,0.012789522,1.223125,1114.825439,2143.511843,1
163.3261213,590.8388973,290.8799909,0.0216633,1.3046875,1936.095905,4697.660602,1
227.4611884,531.0788314,303.859613,0.002642181,0.93775,1023.924966,2338.726249,1
170.1653797,362.7579729,268.7447866,0.009462261,1.0193125,1061.031365,1243.903101,1
203.4647337,549.5692161,305.6204775,0.005189537,0.8561875,1183.484888,2410.836689,1
149.5680569,329.0928994,269.72616,0.014619624,1.133875,1530.167155,2389.963053,1
90.14735473,281.4285741,260.0058738,0.004368469,0.7820625,747.0698218,2959.970414,1
182.3507476,271.0239399,234.879207,0.007134359,0.712625,516.0129492,2278.908769,1
266.5943615,311.1354645,290.9319467,0.00863448,0.6425625,650.852179,2726.848978,1
266.0958402,487.6285607,344.5942987,0.004822921,0.7919375,2049.172061,4300.072407,1
157.2327772,287.1339278,240.0863771,0.010904451,0.846875,705.3406839,2792.040902,1
76.77556879,512.7298008,293.8780296,0.010730211,0.907125,454.3295408,2377.778461,1
82.82149473,570.363961,237.3541955,0.008514182,1.133875,722.4723728,2291.408423,1
219.8988269,370.9141273,299.0661419,0.02039205,0.7978125,1007.30114,1078.36036,1
270.6897624,569.9104664,402.7651303,0.00626626,0.6376875,3253.676638,4094.520847,1
78.40177627,457.0072966,288.7822614,0.01626253,1.3851875,1165.805292,2163.479694,1
331.1556661,567.9261661,407.8392475,0.001979304,0.89525,2279.833134,4491.686147,1
227.2398624,591.8255458,326.8084403,0.014856799,0.779125,1008.137063,2474.306956,1
177.0769432,370.8375272,273.858029,0.024260492,1.1686875,967.1667809,3805.299086,1
201.8889985,329.2738147,274.2012718,0.010169964,1.278125,1022.046659,2424.746015,1
169.4164061,481.0149212,319.071061,0.013720282,1.0860625,1211.296515,2260.635528,1
230.5992642,328.037531,281.036523,0.008904723,1.0650625,811.0343513,2269.86264,1
175.4944977,313.2721055,258.0547018,0.027302363,1.1348125,1446.399218,3933.999415,1
170.4325297,297.1022321,227.7462136,0.005949344,1.108875,1394.923882,3959.997552,1
196.4893922,347.708662,246.2488821,0.014029466,1.305625,1105.443112,2265.571617,1
195.5847763,501.3720663,392.0422527,0.042890485,1.909625,1201.28866,2790.240108,1
186.4201165,550.5642949,401.2092159,0.08303995,1.9096875,1325.839952,2541.424514,1
233.1197542,580.456705,382.3902866,0.024073532,1.756875,2182.307795,3783.486724,1
214.4895048,543.3326405,359.2215745,0.109054029,1.756875,1749.901955,2645.22508,1
